Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un,Weight_1821up,Weight_1821dp,Weight_1821dn,Weight_1821un,Weight_1821un.3,Weight_1833up,Weight_1833dp,Weight_1833un,Weight_1833dn,Weight_1827un,Weight_1827dn,Weight_1827dp,Weight_1827up
0.42,1.23,0.97,0.33,0.92,1.1,1.45,7.89,8.41,4.73,3.98,4.46,0.95,1.57,2.16,0.91,1.13,1.9,10.37,6.09,4.32,2.52,2.87,5.2,1.88
0.42,1.22,0.97,0.33,0.95,1.1,1.45,7.89,8.41,4.76,3.98,4.46,0.94,1.57,2.15,0.95,1.11,1.9,10.37,6.1,4.32,2.52,2.88,5.2,1.88
0.42,1.23,0.97,0.33,0.91,1.1,1.45,7.89,8.42,4.8,3.98,4.46,0.94,1.57,2.13,0.96,1.1,1.9,10.38,6.1,4.33,2.53,2.88,5.21,1.88
0.42,1.23,0.97,0.34,0.87,1.11,1.45,7.89,8.42,4.83,3.98,4.47,0.95,1.56,2.13,0.95,1.08,1.9,10.38,6.11,4.33,2.53,2.89,5.21,1.88
0.42,1.23,0.97,0.34,0.88,1.11,1.45,7.9,8.42,4.86,3.98,4.47,0.96,1.56,2.12,0.93,1.07,1.9,10.38,6.11,4.34,2.53,2.89,5.22,1.88
0.42,1.18,0.97,0.34,0.9,1.12,1.45,7.9,8.42,4.93,3.98,4.47,0.98,1.7,2.12,0.92,1.11,1.95,10.38,6.11,4.35,2.53,2.89,5.22,1.88
0.42,1.13,0.98,0.34,0.92,1.12,1.46,7.9,8.42,4.98,3.99,4.48,0.98,2.09,2.11,0.94,1.15,2.73,10.39,6.12,4.35,2.53,2.89,5.23,1.88
0.42,1.11,0.98,0.34,0.93,1.13,1.63,7.9,8.43,4.96,3.99,4.48,0.97,3.17,2.13,0.97,1.14,3.98,10.42,6.13,4.36,2.53,2.89,5.23,1.88
0.42,1.11,0.98,0.34,0.97,1.28,2.58,7.9,8.43,4.96,3.99,4.48,0.97,3.52,2.15,0.96,1.1,3.96,10.43,6.14,4.36,2.53,2.9,5.24,1.88
0.42,1.11,0.98,0.35,1,1.73,3.14,7.9,8.43,4.96,3.99,4.48,0.97,3.52,2.15,0.95,1.09,3.95,10.44,6.15,4.37,2.53,2.9,5.24,1.89
0.42,1.11,0.98,0.49,1.01,2.1,3.13,7.91,8.43,4.97,3.99,4.48,0.98,3.49,2.14,0.93,1.12,3.93,10.44,6.16,4.37,2.54,2.9,5.24,1.89
0.42,1.11,0.98,0.76,1.02,2.18,3.12,7.91,8.43,4.97,3.99,4.49,0.98,3.47,2.12,0.92,1.17,3.92,10.44,6.17,4.38,2.54,2.91,5.25,1.89
0.42,1.11,0.98,0.93,1.02,2.19,3.1,7.91,8.43,4.98,3.99,4.49,0.97,3.45,2.12,0.93,1.16,3.91,10.44,6.18,4.38,2.54,2.91,5.25,1.89
0.42,1.11,0.98,0.91,1.03,2.14,3.1,7.91,8.43,4.98,3.99,4.49,0.96,3.44,2.11,0.97,1.13,3.91,10.45,6.19,4.38,2.54,2.91,5.26,1.89
