Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un
0.63,1.83,1.39,1.26,1.27,3.36,3.01,12.21,12.73,6.66,7.36,7.45
0.63,1.83,1.39,1.26,1.27,3.38,3.94,12.21,12.73,6.69,7.4,7.45
0.63,1.83,1.39,1.27,1.27,3.49,4.46,12.21,12.73,6.71,7.41,7.45
0.63,1.83,1.39,1.27,1.27,3.72,4.44,12.22,12.73,6.76,7.42,7.45
0.63,1.83,1.39,1.27,1.27,3.94,4.43,12.24,12.73,6.84,7.43,7.45
0.63,1.84,1.39,1.27,1.28,4.06,4.42,12.25,12.73,6.87,7.46,7.45
0.63,1.84,1.39,1.27,1.28,4.12,4.42,12.25,12.73,6.86,7.5,7.45
0.63,1.84,1.39,1.27,1.28,4.16,4.39,12.25,12.73,6.85,7.51,7.45
0.63,1.84,1.39,1.28,1.28,4.19,4.24,12.26,12.73,6.85,7.51,7.46
0.63,1.85,1.39,1.28,1.28,4.2,4.1,12.26,12.74,6.83,7.5,7.46
0.63,1.85,1.4,1.28,1.28,4.2,4.1,12.26,12.74,6.83,7.51,7.46
0.63,1.85,1.4,1.28,1.28,4.21,4.13,12.26,12.74,6.84,7.51,7.46
0.63,1.85,1.4,1.28,1.29,4.21,4.14,12.26,12.74,6.85,7.51,7.46
0.63,1.85,1.4,1.28,1.29,4.21,4.14,12.26,12.74,6.86,7.51,7.46
0.63,1.85,1.4,1.29,1.29,4.22,4.14,12.26,12.91,6.86,7.52,7.46
0.63,1.85,1.4,1.29,1.29,4.22,4.14,12.27,15.28,6.87,7.52,7.46
0.63,1.85,1.4,1.29,1.29,4.22,4.14,12.27,18.25,6.88,7.52,7.46
0.63,1.85,1.4,1.29,1.29,4.23,4.14,12.27,18.17,6.88,7.52,7.46
0.64,1.86,1.4,1.29,1.29,4.23,4.14,12.27,18.11,6.89,7.53,7.46
0.63,1.86,1.4,1.29,1.29,4.23,4.14,12.27,18.07,6.89,7.53,7.46
