Weight_d27mm,Weight_u27mm,Weight_d24mm,Weight_u24mm,Weight_d21mm,Weight_u21mm
12.6,2.39,10.73,1.42,10.6,2.79
13.45,2.39,10.73,1.42,10.6,2.79
13.4,2.39,10.72,1.42,10.61,2.78
13.37,2.39,10.72,1.42,10.61,2.78
13.27,2.39,10.72,1.42,10.61,2.79
12.92,2.39,10.72,1.42,10.61,2.79
12.76,2.39,10.72,1.42,10.62,2.78
12.8,2.39,10.73,1.42,10.62,2.79
12.82,2.39,10.74,1.42,10.62,2.79
12.83,2.39,10.73,1.42,10.62,2.78
12.83,2.39,10.73,1.42,10.62,2.79
12.83,2.47,10.73,1.42,10.62,2.79
12.84,2.8,10.74,1.42,10.62,2.79
12.84,2.94,10.75,1.42,10.62,2.84
12.84,2.93,10.75,1.42,10.62,3.24
12.84,2.91,10.74,1.42,10.62,3.5
12.84,2.9,10.74,1.5,10.62,3.48
12.85,2.86,10.75,1.88,10.63,3.45
12.85,2.81,10.76,2.05,10.62,3.41
12.85,2.8,10.75,2.04,10.62,3.28
12.85,2.8,10.75,2.01,10.62,3.24
12.85,2.81,10.75,2,10.63,3.25
12.85,2.81,10.75,1.95,10.63,3.26
12.86,2.81,10.75,1.84,10.63,3.27
12.86,2.81,10.75,1.81,10.64,3.27
12.86,2.81,10.76,1.82,12.74,3.27
12.86,2.81,10.76,1.83,13.2,3.27
12.86,2.81,10.76,1.84,13.14,3.27
12.86,2.81,10.76,1.84,13.09,3.27
12.87,2.81,10.76,1.84,13.06,3.27
12.87,2.81,10.76,1.84,13.04,3.27
12.87,2.81,10.76,1.84,12.87,3.27
12.87,2.81,10.75,1.84,12.58,3.27
12.87,2.81,10.75,1.84,12.55,3.27
12.87,2.8,10.76,1.84,12.63,3.28
12.87,2.8,10.8,1.84,12.63,3.28
12.87,2.81,10.94,1.84,12.64,3.28
12.87,2.8,10.97,1.84,12.64,3.28
12.88,2.8,10.97,1.84,12.64,3.28
12.88,2.8,10.96,1.84,12.64,3.28
12.88,2.8,10.94,1.84,12.64,3.28
12.88,2.8,10.93,1.85,12.64,3.28
12.89,2.8,10.92,1.89,12.65,3.28
12.9,2.8,10.91,1.9,12.65,3.28
12.9,2.8,10.91,1.9,12.65,3.28
12.9,2.8,10.9,1.9,12.65,3.28
12.91,2.8,10.9,1.89,12.65,3.28
12.91,2.8,10.9,1.89,12.65,3.28
12.91,2.8,10.9,1.88,12.65,3.28
12.91,2.8,10.9,1.88,12.66,3.28
12.91,2.8,10.9,1.88,12.66,3.28
12.91,2.8,10.89,1.88,12.66,3.28
12.91,2.8,10.89,1.88,12.67,3.28
12.91,2.8,10.89,1.88,12.68,3.28
12.91,2.8,10.89,1.88,12.68,3.28
12.91,2.81,10.89,1.87,12.68,3.28
12.91,2.8,10.88,1.87,12.68,3.28
12.92,2.8,10.88,1.87,12.68,3.28
12.92,2.8,10.88,1.87,12.68,3.28
12.92,2.8,10.88,1.87,12.69,3.28
12.92,2.8,10.88,1.87,12.69,3.28
12.92,2.8,10.87,1.87,12.69,3.28
12.92,2.8,10.87,1.87,12.69,3.28
12.92,2.8,10.87,1.87,12.69,3.28
12.92,2.8,10.87,1.87,12.69,3.29
12.92,2.8,10.87,1.87,12.69,3.29
12.92,2.8,10.87,1.87,12.69,3.29
12.92,2.8,10.86,1.86,12.69,3.29
12.92,2.8,10.86,1.86,12.7,3.29
12.93,2.8,10.86,1.86,12.7,3.29
12.93,2.8,10.86,1.86,12.7,3.29
12.93,2.8,10.86,1.86,12.7,3.29
12.93,2.8,10.85,1.86,12.7,3.29
12.93,2.8,10.85,1.86,12.7,3.29
12.93,2.8,10.85,1.86,12.7,3.29
12.93,2.8,10.85,1.86,12.7,3.29
12.93,2.8,10.85,1.86,12.7,3.29
13.05,2.8,10.84,1.86,12.7,3.29
14.3,2.8,10.84,1.86,12.7,3.29
15.54,2.8,10.84,1.86,12.7,3.29
15.48,2.8,10.84,1.85,12.7,3.29
15.44,2.8,10.84,1.85,12.71,3.29
15.37,2.8,10.83,1.85,12.71,3.29
15.06,2.8,10.83,1.85,12.71,3.28
14.88,2.8,10.83,1.85,12.71,3.29
14.92,2.8,10.83,1.85,12.71,3.28
14.94,2.8,10.83,1.85,12.71,3.28
14.94,2.8,10.82,1.85,12.71,3.29
14.94,2.8,10.82,1.85,12.71,3.29
14.94,2.84,10.82,1.85,12.71,3.29
14.94,3.13,10.82,1.85,12.71,3.28
14.95,3.34,10.82,1.85,12.71,3.29
14.95,3.33,10.82,1.84,12.71,3.5
14.95,3.32,10.81,1.85,12.71,3.94
14.96,3.29,10.81,1.85,12.71,4.02
14.97,3.23,10.81,1.85,12.71,3.98
14.97,3.2,10.81,1.85,12.71,3.97
14.97,3.2,10.82,1.85,12.71,3.94
14.97,3.2,10.82,1.85,12.72,3.85
14.97,3.2,10.82,1.85,12.72,3.82
14.97,3.2,10.82,1.85,12.72,3.83
14.97,3.21,10.81,1.85,12.71,3.83
14.98,3.21,10.81,1.85,12.72,3.84
14.98,3.2,10.81,1.85,12.72,3.84
14.98,3.2,10.81,1.85,12.72,3.84
14.98,3.2,10.8,1.85,12.72,3.84
14.98,3.2,10.8,1.85,12.72,3.84
14.98,3.2,10.81,1.85,12.72,3.84
14.98,3.2,10.82,1.87,12.72,3.84
14.99,3.2,10.82,1.88,12.72,3.84
15,3.2,10.81,1.88,12.72,3.85
15.01,3.2,10.81,1.88,12.72,3.84
15.01,3.2,10.81,1.88,12.72,3.85
15.01,3.2,10.81,1.88,12.72,3.85
15.01,3.2,10.81,1.88,12.73,3.85
15.01,3.2,10.81,1.88,13.21,3.85
15.01,3.2,10.81,1.88,14.74,3.85
15.01,3.2,10.81,1.88,15.22,3.85
15.01,3.2,10.81,1.88,15.16,3.85
15.01,3.2,10.81,1.88,15.11,3.85
15.01,3.2,10.81,1.87,15.07,3.85
15.01,3.2,10.98,1.87,14.9,3.85
15.02,3.2,12.41,1.87,14.68,3.85
15.02,3.2,13.49,1.87,14.66,3.85
15.02,3.2,13.49,1.87,14.67,3.85
15.02,3.2,13.43,1.87,14.68,3.85
15.02,3.2,13.4,1.87,14.69,3.85
15.02,3.2,13.33,1.87,14.71,3.85
15.02,3.2,12.79,1.87,14.72,3.85
15.02,3.2,12.81,1.87,14.73,3.85
15.02,3.2,12.85,1.87,14.73,3.85
15.02,3.2,12.86,1.87,14.73,3.85
